no.,description,date,time,location,category,size,shape,colour,size,remarks,,,,,,,,,,,,,,,
72,The Red House Stamp 1,21 Feb 2026,11:56 AM,The Red House,museums,large,rectangle,multi,10.5 x 7.5,,,,,,,,,,,,,,,,
73,The Red House Stamp 2,21 Feb 2026,11:56 AM,The Red House,museums,large,odd,orange,8.5 x 8.5,,,,,,,,,,,,,,,,
74,Postal Museum Stamp 1,21 Feb 2026,2:48 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
75,Postal Museum Stamp 2,21 Feb 2026,2:48 PM,Postal Museum Beimen,museums,small,square,black,4.0 x 4.0,,,,,,,,,,,,,,,,
76,Postal Museum Stamp 3,21 Feb 2026,2:48 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
77,Postal Museum Stamp 4,21 Feb 2026,2:48 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
78,Postal Museum Stamp 5,21 Feb 2026,2:48 PM,Postal Museum Beimen,museums,small,square,black,4.0 x 4.0,,,,,,,,,,,,,,,,
79,Postal Museum Stamp 6,21 Feb 2026,2:51 PM,Postal Museum Beimen,museums,small,odd,black,8.0 x 2.3,,,,,,,,,,,,,,,,
80,Postal Museum Stamp 7,21 Feb 2026,2:51 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
81,Postal Museum Stamp 8,21 Feb 2026,2:51 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
82,Postal Museum Stamp 9,21 Feb 2026,2:51 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
83,Postal Museum Stamp 10,21 Feb 2026,2:51 PM,Postal Museum Beimen,museums,small,odd,black,4.0 x 3.8,,,,,,,,,,,,,,,,
